compound_name,compound_name_sorted,compound_name_akas,cg_id,casrn,inchikey,classification_primary,classification_secondary,classification_tertiary,is_aromatic,is_btexmn,is_dbp,is_jp5_component,is_pah,pesticide_flag,is_herbicide,atom_count_c,atom_count_n,atom_count_f,atom_count_cl,atom_count_br,functional_group_primary_alcohol,functional_group_secondary_alcohol,functional_group_tertiary_alcohol,functional_group_ether,functional_group_ketone,functional_group_aldehyde,functional_group_ester,functional_group_epoxide,functional_group_amine,is_halogenated,is_saturated,has_npdwr,npdwr_mclg,npdwr_mcl,npdwr_notes,smcl,is_ccl5,has_hdoh,hdoh_mcl,hdoh_more_stringent,is_montreal_protocol,stockholm_convention_status,sources,notes,footnote_refs,in_immediate,in_flushing_reports,in_ltm_plan,in_edwm_plan,in_safewaters_old,safewaters_checking
2-(2-methoxyethoxy)ethanol,2-(2-methoxyethoxy)ethanol,diethylene glycol monomethyl ether | diglycol monomethyl ether | methoxydiglycol | methylcarbitol,1,111-77-3,SBASXUCJHJRPEV-UHFFFAOYSA-N,Glycol ether,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-(2-methoxyethoxy)ethanol is a chemical compound used as a fuel system icing inhibitor in jet fuels and as an industrial solvent in construction products (paints/stains, caulks/sealants), cosmetic products, high-strength cleansers, automotive fluids, and certain inks.",NA,NA,TRUE,NA,NA,TRUE,TRUE,NA
Acenaphthene,acenaphthene,peri-ethylenenaphthalene,2,83-32-9,CWRYPZZKDGJXCA-UHFFFAOYSA-N,Aromatic,PAH,"Naphthalene, alkylated",TRUE,NA,NA,NA,TRUE,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acenaphthene is a C12 PAH produced during combustion and manufactured for industrial uses. Combustion sources include the burning of fossil fuels, forest fires, volcanic eruptions, and charbroiling of food. Industrially, it is an intermediate used in the production of dyes, plastics, biocides, and pharmaceutical products.",NA,A,TRUE,NA,NA,NA,NA,NA
Acenaphthylene,acenaphthylene,cyclopenta[de]naphthalene,3,208-96-8,HXGDTGSAIMULJN-UHFFFAOYSA-N,Aromatic,PAH,"Naphthalene, alkylated",TRUE,NA,NA,NA,TRUE,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acenaphthylene is a C12 PAH produced during combustion and also manufactured for industrial uses. Combustion sources include the burning of fossil fuels, forest fires, volcanic eruptions, and charbroiling of food. It is used in insecticides, fungicides, and as an intermediate in the manufacture of dyes and plastics.",NA,A,TRUE,NA,NA,TRUE,TRUE,NA
Alachlor,Alachlor,NA,4,15972-60-8,XCSGPAVHZFQHGE-UHFFFAOYSA-N,Aromatic,Benzene,Derivatized,TRUE,NA,NA,NA,NA,NA,TRUE,14,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,0,0.002,NA,NA,NA,TRUE,0.002,FALSE,NA,NA,"Alachlor is a synthetic herbicide used in agriculture. It has been used extensively in pre-emergent weed control formulations in crops such as corn, sorghum, and soybeans. It enters drinking water primarily from agricultural runoff.",NA,NA,TRUE,NA,NA,NA,NA,NA
Anthracene,anthracene,NA,5,120-12-7,MWPLVEDNUUSJAV-UHFFFAOYSA-N,Aromatic,PAH,Anthracene,TRUE,NA,NA,TRUE,TRUE,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthracene is a diesel-range PAH (C14) found in coal tar and produced by incomplete combustion processes. It is used in production of dyes and as a component of synthetic fibers and plastics. It occurs in tobacco smoke, vehicle emissions, and other combustion gasses, and is found in surface waters, waste waters, and lake sediments. ",NA,A,TRUE,NA,NA,TRUE,TRUE,NA
Antimony,antimony,NA,6,7440-36-0,WATWJIUSRGPENY-UHFFFAOYSA-N,Pure element,Metalloid,Pnictogen (nitrogen group),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0.006,0.006,NA,NA,NA,NA,NA,NA,NA,NA,"Antimony is a chemical element found naturally in the form of the mineral stibnite (antimony trisulfide). Pure antimony is used in alloys for solders and a variety of metals, while antimony-containing compounds are commonly used in fire retardants, plastics, textiles, rubber, adhesives, ceramics, paint, and paper. Antimony is also found in petroleum products and most often contaminates drinking water by discharge from petroleum refineries.",NA,B,TRUE,NA,TRUE,NA,TRUE,NA
Arsenic,arsenic,NA,7,7440-38-2,RQNWIZPPADIBDY-UHFFFAOYSA-N,Pure element,Metalloid,Pnictogen (nitrogen group),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,0.01,NA,NA,NA,TRUE,0.01,FALSE,NA,NA,"Arsenic is a chemical element used in rat poison, agricultural insecticides, pesticides, and herbicides. Small amounts of arsenic are used in the production of electronics. Major sources in drinking water include naturally-occurring mineral deposits, orchard runoff, and industrial runoff from glass and electronics production.",NA,B,TRUE,NA,TRUE,NA,TRUE,NA
Atrazine,Atrazine,AAtrex | Atranex | Atratol | Atred | Atrex | Attrex | Fenatrol | Griffex | Mebazine | Primatol A | Vectral SC | Weedex,8,1912-24-9,MXWJVTOOROXGIU-UHFFFAOYSA-N,Aromatic,Triazine,NA,TRUE,NA,NA,NA,NA,NA,TRUE,8,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,0.003,0.003,NA,NA,NA,TRUE,0.003,FALSE,NA,NA,"Atrazine is a synthetic herbicide widely used to control broadleaf weeds and grasses in agricultural crops. It enters the environment and drinking water supplies through agricultural application, runoff and leaching into groundwater and surface water. ",NA,NA,TRUE,NA,NA,NA,NA,NA
Barium,barium,NA,9,7440-39-3,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,Pure element,Metal,Alkaline earth metal,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,2,2,NA,NA,NA,TRUE,2.0,FALSE,NA,NA,"Barium is a chemical element that is commonly used as a filler for rubber, plastics, and resins. Some of its compounds are used in signal flares, fireworks, drilling fluid, X-ray radiocontrast agents, and rodenticides. It is released from drilling and metal refining operations, and by erosion of natural mineral deposits.",NA,B,TRUE,NA,TRUE,NA,TRUE,NA
Benzene,benzene,C6H6 | benzol | benzole | benzolene,10,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,Aromatic,Benzene,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,0,0.005,NA,NA,NA,NA,NA,NA,NA,NA,"Benzene is a gasoline range aromatic hydrocarbon (C6) found in petroleum and used as a solvent for fats, oils, inks, paints, rubber, and plastics, and as a chemical intermediate in the manufacture of detergents, explosives, pharmaceuticals, and dyestuffs. Benzene enters water sources via industrial discharge as well as leaching from fuel storage tanks and landfills.",NA,NA,TRUE,NA,TRUE,TRUE,TRUE,NA
