compound_name,source_type,source_url
"1,1,1,2-tetrachloroethane",NPI,http://www.npi.gov.au/database/substance-info/profiles/79.html
"1,1,1,2-tetrachloroethane",Wikipedia,"https://en.wikipedia.org/wiki/1,1,1,2-Tetrachloroethane"
"1,1,1,2-tetrachloroethane",Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/12418#section=Use-and-Manufacturing
"1,1,1-trichloroethane",ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp70.pdf
"1,1,1-trichloroethane",EPA,https://archive.epa.gov/water/archive/web/pdf/archived-technical-fact-sheet-on-1-1-1-trichlorethane.pdf
"1,1,1-trichloroethane",Wikipedia,"https://en.wikipedia.org/wiki/1,1,1-Trichloroethane"
"1,1,1-trichloroethane",Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/6278#section=Uses
"1,1,2,2-tetrachloroethane",ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp93.pdf
"1,1,2,2-tetrachloroethane",EPA,https://www.epa.gov/sites/default/files/2016-09/documents/1-1-2-2-tetrachloroethane.pdf
"1,1,2,2-tetrachloroethane",Wikipedia,"https://en.wikipedia.org/wiki/1,1,2,2-Tetrachloroethane"
"1,1,2,2-tetrachloroethane",Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/6591
"1,1,2-trichloroethane",ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp148.pdf
"1,1,2-trichloroethane",EPA,https://www.epa.gov/sites/default/files/2016-09/documents/1-1-2-trichloroethane.pdf
"1,1,2-trichloroethane",Wikipedia,"https://en.wikipedia.org/wiki/1,1,2-Trichloroethane"
"1,1,2-trichloroethane",Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/6574#section=Use-and-Manufacturing
"1,1-Dichloroethane",EPA,https://www.epa.gov/assessing-and-managing-chemicals-under-tsca/risk-evaluation-11-dichloroethane
"1,1-Dichloroethane",Wikipedia,"https://en.wikipedia.org/wiki/1,1-Dichloroethane"
"1,1-Dichloroethane",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6365#section=Uses
"1,1-Dichloropropene",Wikipedia,"https://en.wikipedia.org/wiki/2,2-Dichloropropane"
