id_contaminant,id_legacy_cg,id_name,status,successor_id,issued_release_id,retired_release_id
RHC-001,1,2-(2-methoxyethoxy)ethanol,active,,20260716,
RHC-002,2,Acenaphthene,active,,20260716,
RHC-003,3,Acenaphthylene,active,,20260716,
RHC-004,4,Alachlor,active,,20260716,
RHC-005,5,Anthracene,active,,20260716,
RHC-006,6,Antimony,active,,20260716,
RHC-007,7,Arsenic,active,,20260716,
RHC-008,8,Atrazine,active,,20260716,
RHC-009,9,Barium,active,,20260716,
RHC-010,10,Benzene,active,,20260716,
RHC-011,11,Benzo (a) anthracene,active,,20260716,
RHC-012,12,Benzo (a) pyrene,active,,20260716,
RHC-013,13,Benzo (b) fluoranthene,active,,20260716,
RHC-014,14,"Benzo (g,h,i) perylene",active,,20260716,
RHC-015,15,Benzo (k) fluoranthene,active,,20260716,
RHC-016,16,"Dibenzo (a,h) anthracene",active,,20260716,
RHC-017,17,Beryllium,active,,20260716,
RHC-018,18,Bis(2-ethylhexyl)adipate,active,,20260716,
RHC-019,19,Bis(2-ethylhexyl)phthalate,active,,20260716,
RHC-020,20,Bromate,active,,20260716,
RHC-021,21,Bromide,active,,20260716,
RHC-022,22,Bromobenzene,active,,20260716,
RHC-023,23,Bromochloromethane,active,,20260716,
RHC-024,24,Bromodichloromethane,active,,20260716,
RHC-025,25,Bromoform,active,,20260716,
RHC-026,26,Bromomethane,active,,20260716,
RHC-027,27,2-Butanone,active,,20260716,
RHC-028,28,n-Butylbenzene,active,,20260716,
RHC-029,29,sec-Butylbenzene,active,,20260716,
RHC-030,30,tert-Butylbenzene,active,,20260716,
RHC-031,31,Cadmium,active,,20260716,
RHC-032,32,Calcium,active,,20260716,
RHC-033,33,Carbon tetrachloride,active,,20260716,
RHC-034,34,Chlorate,active,,20260716,
RHC-035,35,alpha-Chlordane,active,,20260716,
RHC-036,36,gamma-Chlordane,active,,20260716,
RHC-037,37,Chloride,active,,20260716,
RHC-038,38,Free chlorine,active,,20260716,
RHC-039,39,Chlorite,active,,20260716,
RHC-040,40,Chlorobenzene,active,,20260716,
RHC-041,41,Chloroethane,active,,20260716,
RHC-042,42,Vinyl chloride,active,,20260716,
RHC-043,43,Chloroform,active,,20260716,
RHC-044,44,Chloromethane,active,,20260716,
RHC-045,45,2-Chlorotoluene,active,,20260716,
RHC-046,46,4-Chlorotoluene,active,,20260716,
RHC-047,47,Chromium,active,,20260716,
RHC-048,48,Chrysene,active,,20260716,
RHC-049,49,Conductivity,active,,20260716,
RHC-050,50,Copper,active,,20260716,
RHC-051,51,"1,2-Dibromo-3-chloropropane",active,,20260716,
RHC-052,52,Dibromoacetic acid,active,,20260716,
RHC-053,53,Dibromochloromethane,active,,20260716,
RHC-054,54,"1,2-Dibromoethane (EDB)",active,,20260716,
RHC-055,55,Dibromomethane,active,,20260716,
RHC-056,56,Dichloroacetic acid,active,,20260716,
RHC-057,57,o-Dichlorobenzene,active,,20260716,
RHC-058,58,m-Dichlorobenzene,active,,20260716,
RHC-059,59,p-Dichlorobenzene,active,,20260716,
RHC-060,60,Dichlorodifluoromethane (Freon 12),active,,20260716,
RHC-061,61,"1,1-Dichloroethane",active,,20260716,
RHC-062,62,"1,2-Dichloroethane",active,,20260716,
RHC-063,63,"1,1-Dichloroethene",active,,20260716,
RHC-064,64,"cis-1,2-Dichloroethene",active,,20260716,
RHC-065,65,"Total 1,2-dichloroethene",active,,20260716,
RHC-066,66,"trans-1,2-Dichloroethene",active,,20260716,
RHC-067,67,"1,2-Dichloropropane",active,,20260716,
RHC-068,68,"1,3-Dichloropropane",active,,20260716,
RHC-069,69,"2,2-Dichloropropane",active,,20260716,
RHC-070,70,"1,1-Dichloropropene",active,,20260716,
RHC-071,71,"1,3-Dichloropropene, Total",active,,20260716,
RHC-072,72,"cis-1,3-Dichloropropene",active,,20260716,
RHC-073,73,"trans-1,3-Dichloropropene",active,,20260716,
RHC-074,74,Di-isopropyl ether,active,,20260716,
RHC-075,75,Endrin,active,,20260716,
RHC-076,76,Ethyl tert-butyl ether,active,,20260716,
RHC-077,77,Ethylbenzene,active,,20260716,
RHC-078,78,Fluoranthene,active,,20260716,
RHC-079,79,Fluorene,active,,20260716,
RHC-080,80,Fluoride,active,,20260716,
RHC-081,81,Freon 113,active,,20260716,
RHC-082,82,Heptachlor,active,,20260716,
RHC-083,83,Heptachlor epoxide,active,,20260716,
RHC-084,84,Heterotrophic plate count,active,,20260716,
RHC-085,85,Hexachlorobutadiene,active,,20260716,
RHC-086,86,gamma-BHC (Lindane),active,,20260716,
RHC-087,87,Hexachlorocyclopentadiene,active,,20260716,
RHC-088,88,2-Hexanone,active,,20260716,
